"last_change_date","barcode","available_stock","in_way_to_client","in_way_from_client","total_stock","available_stock_cost","in_way_to_client_cost","in_way_from_client_cost","total_stock_cost","sales_quantity","revenue","for_pay","sales_cost_price","gross_profit","cost_price","is_cost_price_missing","is_stock_missing","category","subject","supplier_article","brand","orig_country","color","size_group","size"
"2022-07-21","2003757777940",0,0,2,2,NULL,NULL,205.62,205.62,0,0,0,0,0,102.81,0,0,"category 594","subject 638","supplierArticle 336","brand 611","Сербия","Желтый",NULL,"0"
"2022-08-07","2020857066934",298,6,0,304,42697.44,859.68,NULL,43557.12,2,1194.00,1014.90,286.56,728.34,143.28,0,0,"category 594","subject 638","supplierArticle 367","brand 611","Сербия","оливковый",NULL,"0"
"2022-06-13","2001792584219",33,10,0,43,9602.01,2909.70,NULL,12511.71,4,1824.60,1700.10,1163.88,536.22,290.97,0,0,"category 595","subject 628","supplierArticle 452","brand 610","Сербия","Красный",NULL,"0"
"2022-09-04","2020857066118",16,0,0,16,18647.52,NULL,NULL,18647.52,0,0,0,0,0,1165.47,0,0,"category 588","subject 618","supplierArticle 426","brand 603","Сербия","Черный",NULL,"0"
"2022-07-11","2002970862808",0,0,1,1,NULL,NULL,65.34,65.34,0,0,0,0,0,65.34,0,0,"category 594","subject 638","supplierArticle 265","brand 605","Туркменистан","Белый",NULL,"42"
"2022-09-06","2002970862631",0,3,1,4,NULL,187.11,62.37,249.48,0,0,0,0,0,62.37,0,0,"category 594","subject 638","supplierArticle 280","brand 605","Китай","сиреневый",NULL,"М"
"2022-06-27","2002970862747",444,45,6,495,92929.20,9418.50,1255.80,103603.50,7,2148.00,1869.15,1465.1,404.05,209.3,0,0,"category 594","subject 638","supplierArticle 270","brand 611","Сербия","Бордовый",NULL,"0"
"2022-04-10","2002970862419",0,6,0,6,NULL,1868.88,NULL,1868.88,0,0,0,0,0,311.48,0,0,"category 590","subject 621","supplierArticle 28","brand 606","Сербия","Синий",NULL,"0"
"2022-08-17","2002970862419",0,5,1,6,NULL,1557.40,311.48,1868.88,0,0,0,0,0,311.48,0,0,"category 590","subject 621","supplierArticle 28","brand 606","Сербия","Синий",NULL,"0"
"2022-09-01","2020857066644",104,14,2,120,12831.52,1727.32,246.76,14805.60,3,1773.00,1522.35,370.14,1152.21,123.38,0,0,"category 594","subject 638","supplierArticle 382","brand 611","Сербия","Желтый",NULL,"0"
"2022-07-14","2020857066828",33,2,0,35,5450.61,330.34,NULL,5780.95,1,297.00,252.45,165.17,87.28,165.17,0,0,"category 594","subject 638","supplierArticle 394","brand 611","Сербия","сиреневый",NULL,"0"
"2022-05-26","2003757777773",0,0,1,1,NULL,NULL,72.27,72.27,0,0,0,0,0,72.27,0,0,"category 594","subject 638","supplierArticle 302","brand 611","Сербия","Черный",NULL,"0"
"2022-05-30","2002970862815",0,2,2,4,NULL,154.96,154.96,309.92,0,0,0,0,0,77.48,0,0,"category 594","subject 638","supplierArticle 264","brand 605","Китай","Черный",NULL,"М"
"2022-07-26","2002970862884",0,7,2,9,NULL,1392.51,397.86,1790.37,0,0,0,0,0,198.93,0,0,"category 588","subject 618","supplierArticle 420","brand 604","Сербия","Черный",NULL,"0"
"2022-07-26","2002970862488",0,0,1,1,NULL,NULL,83.44,83.44,0,0,0,0,0,83.44,0,0,"category 590","subject 636","supplierArticle 17","brand 606","Сербия","сиреневый",NULL,"0"
"2022-09-09","2007242333796",4,13,3,20,4220.48,13716.56,3165.36,21102.40,3,1341.00,1139.85,3165.36,-2025.51,1055.12,0,0,"category 594","subject 638","supplierArticle 329","brand 611","Сербия","Розовый",NULL,"0"
"2022-07-15","2020857066897",123,0,0,123,65572.53,NULL,NULL,65572.53,1,1011.00,900.81,1066.22,-165.41,533.11,0,0,"category 594","subject 638","supplierArticle 372","brand 611","Сербия","сиреневый",NULL,"0"
"2022-07-28","2020857066729",48,2,0,50,7649.28,318.72,NULL,7968.00,0,0,0,0,0,159.36,0,0,"category 594","subject 638","supplierArticle 384","brand 611","Сербия","Бордовый",NULL,"0"
"2022-09-10","2003757777322",0,3,0,3,NULL,210.87,NULL,210.87,0,0,0,0,0,70.29,0,0,"category 594","subject 638","supplierArticle 296","brand 611","Сербия","Черный",NULL,"0"
"2022-09-12","2007242333697",174,5,0,179,27102.24,778.80,NULL,27881.04,1,477.00,429.30,155.76,273.54,155.76,0,0,"category 594","subject 638","supplierArticle 185","brand 611","Сербия","Желтый",NULL,"0"
"2022-05-28","2007242333857",0,1,0,1,NULL,395.46,NULL,395.46,0,0,0,0,0,395.46,0,0,"category 592","subject 635","supplierArticle 502","brand 609","Сербия","сиреневый",NULL,"0"
"2022-07-14","2007242333666",220,78,13,311,34372.80,12186.72,2031.12,48590.64,18,13229.82,11429.10,2812.32,8616.78,156.24,0,0,"category 594","subject 638","supplierArticle 188","brand 611","Сербия","Синий",NULL,"0"
"2022-08-13","2007242333772",48,7,1,56,11874.24,1731.66,247.38,13853.28,0,0,0,0,0,247.38,0,0,"category 594","subject 638","supplierArticle 327","brand 611","Сербия","Черный",NULL,"0"
"2022-07-02","2022371034802",520,196,0,716,348051.60,131188.68,NULL,479240.28,5,13201.80,13186.80,3346.65,9840.15,669.33,0,0,"category 597","subject 640","supplierArticle 480","brand 607","Сербия","оливковый",NULL,"0"
"2022-07-13","2003757777995",0,4,5,9,NULL,753.48,941.85,1695.33,1,297.00,252.45,188.37,64.08,188.37,0,0,"category 594","subject 638","supplierArticle 324","brand 611","Сербия","оливковый",NULL,"0"
"2022-06-11","2002970862556",424,12,9,445,47250.56,1337.28,1002.96,49590.80,3,1083.00,1012.35,334.32,678.03,111.44,0,0,"category 594","subject 638","supplierArticle 288","brand 611","Сербия","Черный",NULL,"0"
"2022-06-07","2002970862495",0,1,0,1,NULL,81.18,NULL,81.18,0,0,0,0,0,81.18,0,0,"category 590","subject 636","supplierArticle 15","brand 606","Исландия","Синий",NULL,"0"
"2022-06-20","2020857066682",37,2,2,41,7489.54,404.84,404.84,8299.22,1,747.00,634.95,202.42,432.53,202.42,0,0,"category 594","subject 638","supplierArticle 378","brand 611","Сербия","сиреневый",NULL,"0"
"2022-07-26","2003757777643",216,15,4,235,28369.44,1970.10,525.36,30864.90,0,0,0,0,0,131.34,0,0,"category 594","subject 638","supplierArticle 357","brand 611","Сербия","Красный",NULL,"0"
"2022-06-21","2020857066798",178,2,2,182,26920.72,302.48,302.48,27525.68,0,0,0,0,0,151.24,0,0,"category 594","subject 638","supplierArticle 397","brand 611","Сербия","Черный",NULL,"0"
"2022-07-16","2002970862846",507,33,15,555,93419.82,6080.58,2763.90,102264.30,5,2913.00,2537.25,921.30,1615.95,184.26,0,0,"category 594","subject 638","supplierArticle 261","brand 605","Россия","оливковый",NULL,"М"
"2022-05-19","2003757777391",381,30,22,433,114882.93,9045.90,6633.66,130562.49,1,1047.00,889.95,301.53,588.42,301.53,0,0,"category 594","subject 638","supplierArticle 94","brand 611","Сербия","Синий",NULL,"0"
"2022-05-17","2007242333789",0,10,12,22,NULL,3414.30,4097.16,7511.46,0,0,0,0,0,341.43,0,0,"category 594","subject 638","supplierArticle 330","brand 611","Сербия","Розовый",NULL,"0"
"2022-06-23","2003757777049",0,1,0,1,NULL,465.75,NULL,465.75,0,0,0,0,0,465.75,0,0,"category 592","subject 635","supplierArticle 499","brand 609","Сербия","Синий",NULL,"0"
"2022-09-08","2002970862921",0,1,0,1,NULL,106.10,NULL,106.10,0,0,0,0,0,106.1024,0,0,"category 588","subject 618","supplierArticle 419","brand 604","Сербия","Красный",NULL,"0"
"2022-08-07","2003757777384",742,144,4,890,492910.60,95659.20,2657.20,591227.00,32,24804.00,21083.40,21257.6,-174.20,664.3,0,0,"category 594","subject 638","supplierArticle 98","brand 611","Сербия","Белый",NULL,"0"
"2022-05-26","2020857066873",43,36,1,80,11555.39,9674.28,268.73,21498.40,1,567.00,370.14,268.73,101.41,268.73,0,0,"category 594","subject 638","supplierArticle 373","brand 611","Сербия","Синий",NULL,"0"
"2022-08-25","2020857066569",292,8,0,300,34102.68,934.32,NULL,35037.00,1,447.00,379.95,116.79,263.16,116.79,0,0,"category 594","subject 638","supplierArticle 404","brand 611","Сербия","Черный",NULL,"0"
"2022-04-07","2002970862839",636,30,8,674,154032.84,7265.70,1937.52,163236.06,4,2028.00,1774.80,968.76,806.04,242.19,0,0,"category 594","subject 639","supplierArticle 262","brand 611","Сербия","Бордовый",NULL,"0"
"2022-07-23","2020857066804",50,2,2,54,7345.50,293.82,293.82,7933.14,0,0,0,0,0,146.91,0,0,"category 594","subject 638","supplierArticle 396","brand 611","Сербия","Красный",NULL,"0"
"2022-06-23","2003757777865",0,0,1,1,NULL,NULL,236.21,236.21,0,0,0,0,0,236.21,0,0,"category 588","subject 618","supplierArticle 411","brand 604","Сербия","Бордовый",NULL,"0"
"2022-06-01","2002970862525",0,2,2,4,NULL,129.77,129.77,259.55,0,0,0,0,0,64.8866,0,0,"category 590","subject 636","supplierArticle 16","brand 606","Исландия","Синий",NULL,"0"
"2022-08-13","2002970862839",75,8,2,85,18164.25,1937.52,484.38,20586.15,1,747.00,634.95,242.19,392.76,242.19,0,0,"category 594","subject 639","supplierArticle 262","brand 611","Сербия","Бордовый",NULL,"0"
"2022-07-24","2003757777681",25,2,0,27,3423.75,273.90,NULL,3697.65,0,0,0,0,0,136.95,0,0,"category 594","subject 638","supplierArticle 349","brand 611","Сербия","Желтый",NULL,"0"
"2022-08-30","2042502757622",0,1,0,1,NULL,166.83,NULL,166.83,0,0,0,0,0,166.83,0,0,"category 594","subject 638","supplierArticle 66","brand 611","Сербия","Лиловый",NULL,"0"
"2022-05-26","2007242333659",561,35,24,620,79622.73,4967.55,3406.32,87996.60,4,3384.24,3016.65,993.51,2023.14,141.93,0,0,"category 594","subject 638","supplierArticle 189","brand 611","Сербия","сиреневый",NULL,"0"
"2022-07-11","2020857066736",30,2,0,32,8400.60,560.04,NULL,8960.64,0,0,0,0,0,280.02,0,0,"category 594","subject 638","supplierArticle 383","brand 611","Сербия","Красный",NULL,"0"
"2022-05-28","2007242333949",0,1,0,1,NULL,NULL,NULL,NULL,0,0,0,0,0,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2022-08-13","2003757777889",30,9,1,40,20979.00,6293.70,699.30,27972.00,1,1113.00,1053.36,699.3,354.06,699.3,0,0,"category 588","subject 616","supplierArticle 8","brand 603","Сербия","оливковый",NULL,"0"
"2022-06-04","2031163751629",1,0,0,1,174.30,NULL,NULL,174.30,0,0,0,0,0,174.3,0,0,"category 594","subject 638","supplierArticle 579","brand 611","Сербия","Фиолетовый",NULL,"0"
"2022-08-13","2002970862433",0,1,0,1,NULL,105.47,NULL,105.47,0,0,0,0,0,105.47,0,0,"category 590","subject 621","supplierArticle 29","brand 606","Сербия","Желтый",NULL,"0"
"2022-09-04","2002970862761",254,56,12,322,87815.42,19360.88,4148.76,111325.06,7,2769.00,2353.65,2420.11,-66.46,345.73,0,0,"category 594","subject 638","supplierArticle 268","brand 611","Сербия","Розовый",NULL,"0"
"2022-09-11","2020857066972",176,35,0,211,37688.64,7494.90,NULL,45183.54,11,4257.00,3831.30,2355.54,1475.76,214.14,0,0,"category 594","subject 638","supplierArticle 360","brand 611","Сербия","Красный",NULL,"0"
"2022-07-25","2007242333734",38,6,5,49,18358.56,2898.72,2415.60,23672.88,1,747.00,672.30,483.12,189.18,483.12,0,0,"category 594","subject 638","supplierArticle 334","brand 611","Сербия","Лиловый",NULL,"0"
"2022-09-13","2002970862600",615,58,6,679,96973.20,9145.44,946.08,107064.72,9,2793.00,2478.00,1419.12,1058.88,157.68,0,0,"category 594","subject 638","supplierArticle 287","brand 611","Сербия","Красный",NULL,"0"
"2022-05-28","2002970862594",161,10,5,176,21654.50,1345.00,672.50,23672.00,2,813.00,750.60,269.0,481.60,134.5,0,0,"category 594","subject 638","supplierArticle 286","brand 611","Сербия","оливковый",NULL,"0"
"2022-07-16","2002970862587",513,63,30,606,88815.69,10907.19,5193.90,104916.78,11,3804.00,3363.45,1904.43,1459.02,173.13,0,0,"category 594","subject 638","supplierArticle 285","brand 611","Сербия","Синий",NULL,"0"
"2022-07-28","2003757777889",98,6,2,106,68531.40,4195.80,1398.60,74125.80,1,1113.00,1053.36,699.3,354.06,699.3,0,0,"category 588","subject 616","supplierArticle 8","brand 603","Сербия","оливковый",NULL,"0"
"2022-07-14","2020857066897",98,25,7,130,52244.78,13327.75,3731.77,69304.30,0,414.00,393.36,533.11,-139.75,533.11,0,0,"category 594","subject 638","supplierArticle 372","brand 611","Сербия","сиреневый",NULL,"0"
"2022-08-03","2002970862242",0,1,0,1,NULL,173.13,NULL,173.13,0,0,0,0,0,173.13,0,0,"category 590","subject 636","supplierArticle 26","brand 606","Сербия","Фиолетовый",NULL,"0"
"2022-08-09","2020857066576",442,16,0,458,59011.42,2136.16,NULL,61147.58,1,507.00,430.95,133.51,297.44,133.51,0,0,"category 594","subject 638","supplierArticle 403","brand 611","Сербия","Фиолетовый",NULL,"0"
"2022-08-18","2020857066637",886,20,6,912,233124.32,5262.40,1578.72,239965.44,3,2151.00,1828.35,789.36,1038.99,263.12,0,0,"category 594","subject 638","supplierArticle 320","brand 611","Сербия","Красный",NULL,"0"
"2022-08-03","2002970862778",272,13,3,288,64727.84,3093.61,713.91,68535.36,2,1161.00,1013.94,713.91,300.03,237.97,0,0,"category 594","subject 638","supplierArticle 267","brand 611","Сербия","Белый",NULL,"0"
"2022-07-29","2022371034864",220,4,0,224,118507.40,2154.68,NULL,120662.08,1,1653.00,1581.36,538.67,1042.69,538.67,0,0,"category 597","subject 626","supplierArticle 442","brand 607","Сербия","Черный",NULL,"0"
"2022-09-07","2020857066781",0,0,0,0,NULL,NULL,NULL,NULL,0,0,0,0,0,212.29,0,0,"category 594","subject 638","supplierArticle 388","brand 611","Сербия","Белый",NULL,"0"
"2022-06-16","2002970862020",249,34,22,305,305234.16,41678.56,26968.48,373881.20,5,3207.00,3021.75,6129.20,-3107.45,1225.84,0,0,"category 594","subject 638","supplierArticle 326","brand 611","Сербия","сиреневый",NULL,"0"
"2022-07-21","2003757777667",0,4,2,6,NULL,617.52,308.76,926.28,0,0,0,0,0,154.38,0,0,"category 594","subject 638","supplierArticle 350","brand 611","Сербия","Черный",NULL,"0"
"2022-05-24","2002970862549",197,27,15,239,38875.98,5328.18,2960.10,47164.26,5,1965.60,1876.50,986.70,889.80,197.34,0,0,"category 594","subject 638","supplierArticle 282","brand 611","Сербия","Фиолетовый",NULL,"0"
"2022-04-13","2001792584226",65,3,2,70,20748.00,957.60,638.40,22344.00,0,0,0,0,0,319.2,0,0,"category 595","subject 628","supplierArticle 450","brand 610","Сербия","сиреневый",NULL,"0"
"2022-07-10","2002970862495",0,1,0,1,NULL,81.18,NULL,81.18,0,0,0,0,0,81.18,0,0,"category 590","subject 636","supplierArticle 15","brand 606","Исландия","Синий",NULL,"0"
"2022-08-16","2022371034857",414,7,0,421,138872.16,2348.08,NULL,141220.24,1,1653.00,1581.36,335.44,1245.92,335.44,0,0,"category 597","subject 626","supplierArticle 443","brand 607","Сербия","Желтый",NULL,"0"
"2022-08-16","2002970862556",157,44,8,209,17496.08,4903.36,891.52,23290.96,13,3860.37,3281.85,1448.72,1833.13,111.44,0,0,"category 594","subject 638","supplierArticle 288","brand 611","Сербия","Черный",NULL,"0"
"2022-07-24","2022371034833",103,7,0,110,46078.08,3131.52,NULL,49209.60,3,5423.64,5140.08,1342.08,3798.00,447.36,0,0,"category 597","subject 626","supplierArticle 445","brand 607","Сербия","Синий",NULL,"0"
"2022-08-17","2003757777827",0,8,1,9,NULL,1454.16,181.77,1635.93,0,0,0,0,0,181.77,0,0,"category 588","subject 618","supplierArticle 421","brand 604","Сербия","Белый",NULL,"0"
"2022-06-09","2020857066712",49,0,0,49,9394.77,NULL,NULL,9394.77,0,0,0,0,0,191.73,0,0,"category 594","subject 638","supplierArticle 385","brand 611","Сербия","Бордовый",NULL,"0"
"2022-06-19","2007242333604",146,3,6,155,27005.62,554.91,1109.82,28670.35,0,0,0,0,0,184.97,0,0,"category 594","subject 638","supplierArticle 105","brand 611","Сербия","Фиолетовый",NULL,"0"
"2022-06-10","2020857066736",45,0,1,46,12600.90,NULL,280.02,12880.92,0,0,0,0,0,280.02,0,0,"category 594","subject 638","supplierArticle 383","brand 611","Сербия","Красный",NULL,"0"
"2022-05-27","2003757777681",100,1,1,102,13695.00,136.95,136.95,13968.90,0,0,0,0,0,136.95,0,0,"category 594","subject 638","supplierArticle 349","brand 611","Сербия","Желтый",NULL,"0"
"2022-06-15","2020857066927",96,2,0,98,10698.24,222.88,NULL,10921.12,0,0,0,0,0,111.44,0,0,"category 594","subject 638","supplierArticle 369","brand 611","Сербия","Желтый",NULL,"0"
"2022-05-28","2003757777568",0,1,1,2,NULL,52.20,52.20,104.40,0,0,0,0,0,52.2,0,0,"category 595","subject 628","supplierArticle 456","brand 610","Сербия","сиреневый",NULL,"0"
"2022-07-09","2002970862808",0,0,1,1,NULL,NULL,65.34,65.34,0,0,0,0,0,65.34,0,0,"category 594","subject 638","supplierArticle 265","brand 605","Туркменистан","Белый",NULL,"42"
"2022-05-17","2002970862020",558,98,72,728,684018.72,120132.32,88260.48,892411.52,2,1794.00,1596.66,2451.68,-855.02,1225.84,0,0,"category 594","subject 638","supplierArticle 326","brand 611","Сербия","сиреневый",NULL,"0"
"2022-07-26","2020857066637",478,12,1,491,125771.36,3157.44,263.12,129191.92,2,1494.00,1269.90,526.24,743.66,263.12,0,0,"category 594","subject 638","supplierArticle 320","brand 611","Сербия","Красный",NULL,"0"
"2022-08-18","2003757777766",122,12,4,138,23087.28,2270.88,756.96,26115.12,4,1908.00,1621.80,756.96,864.84,189.24,0,0,"category 594","subject 638","supplierArticle 344","brand 611","Сербия","Белый",NULL,"0"
"2022-05-18","2007242333772",0,2,4,6,NULL,494.76,989.52,1484.28,0,0,0,0,0,247.38,0,0,"category 594","subject 638","supplierArticle 327","brand 611","Сербия","Черный",NULL,"0"
"2022-04-11","2007242333857",0,1,0,1,NULL,395.46,NULL,395.46,0,0,0,0,0,395.46,0,0,"category 592","subject 635","supplierArticle 502","brand 609","Сербия","сиреневый",NULL,"0"
"2022-08-14","2002970862808",0,0,1,1,NULL,NULL,65.34,65.34,0,0,0,0,0,65.34,0,0,"category 594","subject 638","supplierArticle 265","brand 605","Туркменистан","Белый",NULL,"42"
"2022-07-09","2003757777230",0,0,1,1,NULL,NULL,497.17,497.17,0,0,0,0,0,497.17,0,0,"category 592","subject 617","supplierArticle 438","brand 609","Сербия","Желтый",NULL,"0"
"2022-06-23","2020857066934",220,10,2,232,31521.60,1432.80,286.56,33240.96,2,894.00,759.90,286.56,473.34,143.28,0,0,"category 594","subject 638","supplierArticle 367","brand 611","Сербия","оливковый",NULL,"0"
"2022-05-27","2002970862020",282,88,27,397,345686.88,107873.92,33097.68,486658.48,4,3429.30,3313.26,4903.36,-1590.10,1225.84,0,0,"category 594","subject 638","supplierArticle 326","brand 611","Сербия","сиреневый",NULL,"0"
"2022-09-01","2020857066101",108,22,0,130,151547.76,30870.84,NULL,182418.60,0,0,0,0,0,1403.22,0,0,"category 588","subject 618","supplierArticle 427","brand 603","Сербия","Синий",NULL,"0"
"2022-05-17","2003757777735",58,0,0,58,8425.66,NULL,NULL,8425.66,0,0,0,0,0,145.27,0,0,"category 594","subject 638","supplierArticle 342","brand 611","Сербия","сиреневый",NULL,"0"
"2022-09-10","2003757777254",0,0,1,1,NULL,NULL,399.20,399.20,0,0,0,0,0,399.2,0,0,"category 592","subject 617","supplierArticle 437","brand 609","Сербия","Бордовый",NULL,"0"
"2022-06-19","2002970862389",0,1,0,1,NULL,147.26,NULL,147.26,0,0,0,0,0,147.26,0,0,"category 590","subject 621","supplierArticle 32","brand 606","Сербия","Фиолетовый",NULL,"0"
"2022-06-08","2002970862396",0,0,1,1,NULL,NULL,54.90,54.90,0,0,0,0,0,54.9,0,0,"category 590","subject 621","supplierArticle 31","brand 606","Сербия","Белый",NULL,"0"
"2022-07-28","2007242333567",350,10,18,378,147560.00,4216.00,7588.80,159364.80,3,1101.00,986.85,1264.8,-277.95,421.6,0,0,"category 594","subject 638","supplierArticle 99","brand 611","Сербия","Синий",NULL,"0"
"2022-04-13","2007242333666",666,79,12,757,104055.84,12342.96,1874.88,118273.68,13,3778.23,3614.49,2187.36,1427.13,156.24,0,0,"category 594","subject 638","supplierArticle 188","brand 611","Сербия","Синий",NULL,"0"
"2022-06-06","2002970862846",266,11,4,281,49013.16,2026.86,737.04,51777.06,2,1044.00,909.75,368.52,541.23,184.26,0,0,"category 594","subject 638","supplierArticle 261","brand 605","Россия","оливковый",NULL,"М"
"2022-06-15","2020857066750",42,4,1,47,8052.66,766.92,191.73,9011.31,0,0,0,0,0,191.73,0,0,"category 594","subject 638","supplierArticle 391","brand 611","Сербия","Лиловый",NULL,"0"
"2022-07-31","2007242333758",428,28,20,476,256586.00,16786.00,11990.00,285362.00,3,2241.00,1904.85,1798.5,106.35,599.5,0,0,"category 594","subject 638","supplierArticle 333","brand 611","Сербия","Синий",NULL,"0"
"2022-05-23","2003757777278",0,2,2,4,NULL,993.08,993.08,1986.16,0,0,0,0,0,496.54,0,0,"category 592","subject 617","supplierArticle 439","brand 609","Сербия","Белый",NULL,"0"
"2022-09-11","2020857066644",42,3,2,47,5181.96,370.14,246.76,5798.86,0,0,0,0,0,123.38,0,0,"category 594","subject 638","supplierArticle 382","brand 611","Сербия","Желтый",NULL,"0"
"2022-04-16","2002970862648",0,6,3,9,NULL,300.90,150.45,451.35,0,0,0,0,0,50.15,0,0,"category 594","subject 638","supplierArticle 279","brand 605","Китай","Синий",NULL,"М"
"2022-06-27","2001792584202",47,4,4,55,10501.68,893.76,893.76,12289.20,1,657.00,634.95,223.44,411.51,223.44,0,0,"category 595","subject 628","supplierArticle 449","brand 610","Сербия","Синий",NULL,"0"
"2022-05-24","2031428746629",1,0,0,1,146.91,NULL,NULL,146.91,0,0,0,0,0,146.91,0,0,"category 594","subject 638","supplierArticle 580","brand 611","Сербия","Синий",NULL,"0"
"2022-09-09","2002970862006",7,7,5,19,1787.52,1787.52,1276.80,4851.84,0,0,0,0,0,255.36,0,0,"category 594","subject 638","supplierArticle 325","brand 611","Сербия","сиреневый",NULL,"0"
"2022-08-14","2002970862495",0,1,0,1,NULL,81.18,NULL,81.18,0,0,0,0,0,81.18,0,0,"category 590","subject 636","supplierArticle 15","brand 606","Исландия","Синий",NULL,"0"
"2022-06-04","2020857066880",256,34,2,292,73262.08,9730.12,572.36,83564.56,2,1194.00,1014.90,572.36,442.54,286.18,0,0,"category 594","subject 638","supplierArticle 377","brand 611","Сербия","Желтый",NULL,"0"
"2022-04-08","2002970862587",586,16,2,604,101454.18,2770.08,346.26,104570.52,3,1230.00,1063.35,519.39,543.96,173.13,0,0,"category 594","subject 638","supplierArticle 285","brand 611","Сербия","Синий",NULL,"0"
"2022-06-08","2020857066781",44,1,0,45,9340.76,212.29,NULL,9553.05,-1,-897.00,-762.45,-212.29,-550.16,212.29,0,0,"category 594","subject 638","supplierArticle 388","brand 611","Сербия","Белый",NULL,"0"
"2022-07-28","2003757777230",0,0,2,2,NULL,NULL,994.34,994.34,0,0,0,0,0,497.17,0,0,"category 592","subject 617","supplierArticle 438","brand 609","Сербия","Желтый",NULL,"0"
"2022-08-24","2002970862099",170,48,3,221,42732.90,12065.76,754.11,55552.77,13,5781.00,5021.10,3267.81,1753.29,251.37,0,0,"category 594","subject 638","supplierArticle 313","brand 611","Сербия","Синий",NULL,"0"
"2022-08-04","2007242333550",330,8,2,340,94934.40,2301.44,575.36,97811.20,0,0,0,0,0,287.68,0,0,"category 594","subject 638","supplierArticle 107","brand 611","Сербия","Черный",NULL,"0"
"2022-06-03","2002970862631",0,4,1,5,NULL,249.48,62.37,311.85,0,0,0,0,0,62.37,0,0,"category 594","subject 638","supplierArticle 280","brand 605","Китай","сиреневый",NULL,"М"
"2022-07-30","2020857066088",84,0,0,84,119220.36,NULL,NULL,119220.36,1,4740.00,4485.36,1419.29,3066.07,1419.29,0,0,"category 588","subject 618","supplierArticle 429","brand 603","Сербия","Красный",NULL,"0"
"2022-07-23","2020857066859",84,10,2,96,26036.64,3099.60,619.92,29756.16,1,597.00,507.45,309.96,197.49,309.96,0,0,"category 594","subject 638","supplierArticle 375","brand 611","Сербия","Розовый",NULL,"0"
"2022-05-23","2002970862280",0,0,2,2,NULL,NULL,166.32,166.32,0,0,0,0,0,83.16,0,0,"category 590","subject 636","supplierArticle 25","brand 606","Сербия","Фиолетовый",NULL,"0"
"2022-05-22","2002970862082",425,29,10,464,71961.00,4910.28,1693.20,78564.48,3,1773.00,1522.35,507.96,1014.39,169.32,0,0,"category 594","subject 638","supplierArticle 312","brand 611","Сербия","Синий",NULL,"0"
"2022-09-11","2002970862075",503,41,15,559,122239.06,9963.82,3645.30,135848.18,7,4179.00,3552.15,1701.14,1851.01,243.02,0,0,"category 594","subject 638","supplierArticle 315","brand 611","Сербия","Бордовый",NULL,"0"
"2022-07-21","2002970862358",0,0,2,2,NULL,NULL,152.46,152.46,0,0,0,0,0,76.23,0,0,"category 590","subject 636","supplierArticle 20","brand 606","Исландия","сиреневый",NULL,"0"
"2022-07-24","2022371034888",413,63,0,476,39784.29,6068.79,NULL,45853.08,16,4752.00,4324.32,1541.28,2783.04,96.33,0,0,"category 594","subject 620","supplierArticle 483","brand 611","Сербия","Бордовый",NULL,"0"
"2022-06-16","2003757777322",0,4,0,4,NULL,281.16,NULL,281.16,0,0,0,0,0,70.29,0,0,"category 594","subject 638","supplierArticle 296","brand 611","Сербия","Черный",NULL,"0"
"2022-07-01","2002970862822",382,65,15,462,62839.00,10692.50,2467.50,75999.00,10,2970.00,2524.50,1645.0,879.50,164.5,0,0,"category 594","subject 638","supplierArticle 263","brand 605","Россия","Розовый",NULL,"47"
"2022-07-16","2002970862280",0,0,3,3,NULL,NULL,249.48,249.48,0,0,0,0,0,83.16,0,0,"category 590","subject 636","supplierArticle 25","brand 606","Сербия","Фиолетовый",NULL,"0"
"2022-07-14","2002970862075",719,69,24,812,174731.38,16768.38,5832.48,197332.24,29,16422.00,14244.60,7047.58,7197.02,243.02,0,0,"category 594","subject 638","supplierArticle 315","brand 611","Сербия","Бордовый",NULL,"0"
"2022-06-26","2007242333697",181,8,2,191,28192.56,1246.08,311.52,29750.16,5,2805.00,2384.25,778.80,1605.45,155.76,0,0,"category 594","subject 638","supplierArticle 185","brand 611","Сербия","Желтый",NULL,"0"
"2022-04-13","2003757777940",0,1,0,1,NULL,102.81,NULL,102.81,0,0,0,0,0,102.81,0,0,"category 594","subject 638","supplierArticle 336","brand 611","Сербия","Желтый",NULL,"0"
"2022-08-25","2002970862617",520,52,6,578,57948.80,5794.88,668.64,64412.32,14,4558.77,3891.30,1560.16,2331.14,111.44,0,0,"category 594","subject 638","supplierArticle 283","brand 611","Сербия","Красный",NULL,"0"
"2022-05-22","2003757777865",0,0,1,1,NULL,NULL,236.21,236.21,0,0,0,0,0,236.21,0,0,"category 588","subject 618","supplierArticle 411","brand 604","Сербия","Бордовый",NULL,"0"
"2022-07-28","2020857066682",38,14,0,52,7691.96,2833.88,NULL,10525.84,0,0,0,0,0,202.42,0,0,"category 594","subject 638","supplierArticle 378","brand 611","Сербия","сиреневый",NULL,"0"
"2022-07-20","2020857066903",16,8,1,25,16128.00,8064.00,1008.00,25200.00,0,0,0,0,0,1008,0,0,"category 594","subject 638","supplierArticle 371","brand 611","Сербия","Синий",NULL,"0"
